experiment,arrival_rate,workers,mean_latency_s,std_latency_s,mean_waiting_s,throughput_events_s,mean_queue_length,utilization,completed_events
Experiment 1 - Increasing Workload,2,1,0.12330368850470061,0.005039265217746502,0.024129041406558527,1.9953333333333334,0.04817999765229971,0.1978895068586468,1795.8
Experiment 1 - Increasing Workload,4,1,0.16538279105460982,0.006315810171132027,0.06535976745010748,3.993555555555555,0.26124921171771287,0.3994747107806256,3594.2
Experiment 1 - Increasing Workload,6,1,0.2594956840223112,0.022009350975346915,0.15848517554034866,5.9799999999999995,0.9483731255615642,0.6040834434161566,5382.0
Experiment 1 - Increasing Workload,8,1,0.5215888370040189,0.05909049159673379,0.42142472317032986,7.994222222222223,3.370867033067652,0.8007442577791635,7194.8
Experiment 1 - Increasing Workload,9,1,0.9755466237941208,0.1104410505210769,0.875432987363143,8.996444444444444,7.870379846043616,0.9005845564384483,8096.8
Experiment 1 - Increasing Workload,10,1,8.212435911441139,4.340478849545007,8.11301690060307,9.892444444444445,80.54680525108277,0.9834269154370625,8903.2
Experiment 1 - Increasing Workload,11,1,52.54264873042753,14.40589558809783,52.442840085282796,9.887777777777776,516.8904569912045,0.9865384477066226,8899.0
Experiment 1 - Increasing Workload,12,1,99.40677492244411,12.773760714383057,99.30633487219835,9.696444444444444,961.4833126391159,0.9737590341168672,8726.8
Experiment 2 - Increasing Workers,8,1,0.5215888370040189,0.05909049159673379,0.42142472317032986,7.994222222222223,3.370867033067652,0.8007442577791635,7194.8
Experiment 2 - Increasing Workers,8,2,0.11883916136057604,0.0016000136792324372,0.01860061694909569,8.012444444444444,0.14914110871910174,0.40158675850864245,7211.2
Experiment 2 - Increasing Workers,8,3,0.10411410199505602,0.0011505548873288931,0.002746391120284214,7.952222222222223,0.021847139100085674,0.26869808535551265,7157.0
Experiment 2 - Increasing Workers,8,4,0.10031961498558228,0.0011468995111388878,0.00033313743840368435,7.962222222222222,0.0026588949528766302,0.19903236817452802,7166.0
Experiment 3 - Scaling With Workload,8,1,0.5215888370040189,0.05909049159673379,0.42142472317032986,7.994222222222223,3.370867033067652,0.8007442577791635,7194.8
Experiment 3 - Scaling With Workload,16,2,0.2765895526334991,0.008255741936006023,0.176444107964282,16.03666666666667,2.8298011508011904,0.802982847451766,14433.0
Experiment 3 - Scaling With Workload,24,3,0.20868991107365345,0.011378530494641026,0.10881384836370253,24.078444444444447,2.620666799282881,0.8016172374378501,21670.6
Experiment 3 - Scaling With Workload,32,4,0.17279398324879933,0.005338857982556479,0.0726204893923689,32.029111111111106,2.32689739403579,0.8021234294617191,28826.2
