arrival_rate,workers,mean_latency_s,mean_waiting_s,throughput_events_s,mean_queue_length,utilization,completed_events,experiment,replication
8,1,0.4635376968416541,0.3643215284497203,7.984444444444445,2.908905003821878,0.7921859845160459,7186,Experiment 1 - Increasing Workload,5
9,1,1.140439503282947,1.0390440993923302,8.94,9.289054248567432,0.9064749107821112,8046,Experiment 1 - Increasing Workload,1
9,1,0.964421691433571,0.8634322774692927,8.931111111111111,7.7114096069979725,0.9019476771609621,8038,Experiment 1 - Increasing Workload,2
9,1,1.000208584417941,0.8998471466668053,8.912222222222223,8.019637737127162,0.8944434357798408,8021,Experiment 1 - Increasing Workload,3
9,1,0.9360742494784008,0.8375627637719902,9.115555555555556,7.634849904428231,0.8979869208170972,8204,Experiment 1 - Increasing Workload,4
9,1,0.8365890903577443,0.737278649515297,9.083333333333334,6.696947733097281,0.9020698376522298,8175,Experiment 1 - Increasing Workload,5
10,1,13.099152271874793,12.998863420615804,9.934444444444445,129.13648649302877,0.9963140212295826,8941,Experiment 1 - Increasing Workload,1
10,1,10.886602869256222,10.785644372755876,9.866666666666667,106.41835781119131,0.9961238321367551,8880,Experiment 1 - Increasing Workload,2
10,1,3.1024841727057333,3.0028270278135643,9.765555555555556,29.32427416383713,0.9732073849525289,8789,Experiment 1 - Increasing Workload,3
10,1,9.744933255217752,9.647429099361505,10.092222222222222,97.36399834388949,0.9840336084914497,9083,Experiment 1 - Increasing Workload,4
10,1,4.229006988151193,4.1303205824686025,9.803333333333333,40.490909443467196,0.9674557303749968,8823,Experiment 1 - Increasing Workload,5
11,1,36.09374597847813,35.99391893031883,9.87888888888889,355.57992578829413,0.986180316871518,8891,Experiment 1 - Increasing Workload,1
11,1,71.5653759418093,71.46313295172389,9.665555555555555,690.73088171894,0.9882353008365129,8699,Experiment 1 - Increasing Workload,2
11,1,62.18572467272026,62.08486447668752,9.79,607.8108232267708,0.9874213191605669,8811,Experiment 1 - Increasing Workload,3
11,1,50.31192448283404,50.21224399369833,9.893333333333333,496.7664672443221,0.9861723058491801,8904,Experiment 1 - Increasing Workload,4
11,1,42.556472576295924,42.46004007398539,10.21111111111111,433.5641869776952,0.9846829958153344,9190,Experiment 1 - Increasing Workload,5
12,1,118.51672744325666,118.41452587830045,9.501111111111111,1125.0695675392747,0.9710284243783684,8551,Experiment 1 - Increasing Workload,1
12,1,92.01769916247184,91.91882863858721,9.847777777777777,905.1961980264427,0.9736549479882582,8863,Experiment 1 - Increasing Workload,2
12,1,102.12006828324897,102.01934330302451,9.643333333333333,983.806533918833,0.9713245592977757,8679,Experiment 1 - Increasing Workload,3
12,1,84.40019274027732,84.30073731374219,9.84,829.5192551672232,0.9786413971057736,8856,Experiment 1 - Increasing Workload,4
12,1,99.97918698296579,99.87823922733739,9.65,963.8250085438058,0.9741458418141593,8685,Experiment 1 - Increasing Workload,5
8,1,0.5246498943545573,0.4233150851704612,8.03,3.399220133918803,0.8137185177482938,7227,Experiment 2 - Increasing Workers,1
8,1,0.5524339153141653,0.4530277857094374,8.047777777777778,3.6458669465482836,0.7999984408078288,7243,Experiment 2 - Increasing Workers,2
8,1,0.4653073694902259,0.3653847761947972,7.894444444444445,2.884509816515594,0.788833361515581,7105,Experiment 2 - Increasing Workers,3
8,1,0.6020153090194919,0.501074440327233,8.014444444444445,4.015833264533702,0.8089849843080678,7213,Experiment 2 - Increasing Workers,4
8,1,0.4635376968416541,0.3643215284497203,7.984444444444445,2.908905003821878,0.7921859845160459,7186,Experiment 2 - Increasing Workers,5
8,2,0.11701364184345031,0.017399824238579262,7.933333333333334,0.13803860562606216,0.3951348098326552,7140,Experiment 2 - Increasing Workers,1
8,2,0.118562890174567,0.01806632324925177,7.964444444444444,0.14388822783404076,0.4001996620670318,7168,Experiment 2 - Increasing Workers,2
8,2,0.12027637522597946,0.019809726007967838,8.073333333333334,0.15993052130432703,0.40555037401004024,7266,Experiment 2 - Increasing Workers,3
8,2,0.1176639828747029,0.017501308105222838,7.931111111111111,0.1388048191723118,0.39720065139141425,7138,Experiment 2 - Increasing Workers,4
8,2,0.1206789166841805,0.02022590314445675,8.16,0.16504336965876706,0.40984829524207095,7344,Experiment 2 - Increasing Workers,5
8,3,0.10303240233817773,0.0028871479208251592,8.073333333333334,0.023308907547461788,0.2695020068875877,7266,Experiment 2 - Increasing Workers,1
8,3,0.10424200095970916,0.0025715252090613024,7.874444444444444,0.02024933239624161,0.2668661709795719,7087,Experiment 2 - Increasing Workers,2
8,3,0.10353369816950453,0.0024319819033708162,7.963333333333333,0.019366682557176267,0.26836888906643597,7167,Experiment 2 - Increasing Workers,3
8,3,0.10602026385516758,0.0030238763534333633,8.014444444444445,0.024234689041460946,0.27515294187037215,7213,Experiment 2 - Increasing Workers,4
8,3,0.10374214465272111,0.0028174242147304294,7.835555555555556,0.022076083958087765,0.26360041797359535,7052,Experiment 2 - Increasing Workers,5
8,4,0.09912588475396909,0.00021182350125571693,7.796666666666667,0.001651517231457073,0.19279999105841455,7017,Experiment 2 - Increasing Workers,1
8,4,0.09978300105160955,0.00040429896964618917,8.095555555555556,0.003273024769824594,0.20113145093588558,7286,Experiment 2 - Increasing Workers,2
8,4,0.09968729776677834,0.0003371935455717117,8.003333333333334,0.0026986723430589324,0.19878300019593093,7203,Experiment 2 - Increasing Workers,3
8,4,0.10192382751751616,0.0004154083318393424,7.977777777777778,0.003314035358451643,0.20245290270921154,7180,Experiment 2 - Increasing Workers,4
8,4,0.10107806383803827,0.00029696284370546157,7.937777777777778,0.0023572250615909083,0.1999944959731976,7144,Experiment 2 - Increasing Workers,5
8,1,0.5246498943545573,0.4233150851704612,8.03,3.399220133918803,0.8137185177482938,7227,Experiment 3 - Scaling With Workload,1
8,1,0.5524339153141653,0.4530277857094374,8.047777777777778,3.6458669465482836,0.7999984408078288,7243,Experiment 3 - Scaling With Workload,2
8,1,0.4653073694902259,0.3653847761947972,7.894444444444445,2.884509816515594,0.788833361515581,7105,Experiment 3 - Scaling With Workload,3
8,1,0.6020153090194919,0.501074440327233,8.014444444444445,4.015833264533702,0.8089849843080678,7213,Experiment 3 - Scaling With Workload,4
8,1,0.4635376968416541,0.3643215284497203,7.984444444444445,2.908905003821878,0.7921859845160459,7186,Experiment 3 - Scaling With Workload,5
16,2,0.2822416827750108,0.1835662609062502,16.124444444444446,2.959903975857226,0.7955431789774741,14512,Experiment 3 - Scaling With Workload,1
16,2,0.2707898778094325,0.17125554672158846,15.967777777777778,2.7345705132621645,0.7946710400352252,14371,Experiment 3 - Scaling With Workload,2
16,2,0.26527433089063557,0.16458033756760232,15.991111111111111,2.631822464747703,0.805104417725056,14392,Experiment 3 - Scaling With Workload,3
16,2,0.2797407666364284,0.179153053278939,16.166666666666668,2.8963076946761803,0.8130840163063731,14550,Experiment 3 - Scaling With Workload,4
16,2,0.28490110505598837,0.18366534134703,15.933333333333334,2.926401105462678,0.8065115842147013,14340,Experiment 3 - Scaling With Workload,5
24,3,0.2142983206857366,0.11377796103931127,23.985555555555557,2.729027605506236,0.8036788902545859,21587,Experiment 3 - Scaling With Workload,1
24,3,0.2178430228882952,0.11833198816582889,24.18888888888889,2.86231931374455,0.8023537873733669,21770,Experiment 3 - Scaling With Workload,2
24,3,0.21186997441352903,0.11190428082631355,24.08888888888889,2.6956497870160865,0.8026874951743846,21680,Experiment 3 - Scaling With Workload,3
24,3,0.2104798592733124,0.11053363693011128,24.165555555555557,2.6711067439922114,0.8050853295341794,21749,Experiment 3 - Scaling With Workload,4
24,3,0.1889583781073941,0.08952137485694764,23.963333333333335,2.145230546155322,0.7942806848527336,21567,Experiment 3 - Scaling With Workload,5
32,4,0.18051340420323825,0.08007432302876105,32.42888888888889,2.596721324352689,0.8142819508773019,29186,Experiment 3 - Scaling With Workload,1
32,4,0.1741108786321766,0.07405307548758987,32.07111111111111,2.374964412081993,0.8022412305459322,28864,Experiment 3 - Scaling With Workload,2
32,4,0.17044150886048562,0.07040810102577913,31.84777777777778,2.2423415552243413,0.7964604357683872,28663,Experiment 3 - Scaling With Workload,3
32,4,0.17297476986611418,0.07279796413071521,31.945555555555554,2.3255714074691034,0.8000509282495738,28751,Experiment 3 - Scaling With Workload,4
32,4,0.16592935468198197,0.06576898328899922,31.852222222222224,2.0948882710508228,0.7975826018674004,28667,Experiment 3 - Scaling With Workload,5
